# CoSQM_R, CE318T_629nm
2.000243119391546998e+01,1.936375416666666627e-01
2.009145697552200360e+01,5.227499999999999508e-02
1.992811895271024270e+01,6.091774074074075146e-02
2.045478884308971246e+01,5.161707499999999837e-02
2.022377208076646227e+01,4.239088888888888768e-02
2.016930369001065770e+01,4.348300000000000082e-02
2.047454604074889417e+01,1.190443191489361507e-01
1.780760813406242704e+01,1.372105151515151444e+00
1.785199745915651093e+01,9.211759999999999948e-01
1.942118080048156870e+01,5.709047090909092903e-01
1.988407807702953889e+01,3.269538148148147805e-01
2.004016624753033682e+01,7.508388888888888058e-02
2.023893003224197784e+01,2.713540357142856796e-01
1.992851541810644278e+01,1.417239999999999611e-01
2.010128538972982781e+01,4.646188095238096283e-02
2.005203509074960522e+01,3.461461403508772627e-02
1.993846186084180871e+01,4.621504285714286842e-01
2.021673506964351219e+01,7.012100934579436340e-02
2.022549677536769508e+01,1.358778425925926403e-01
2.039786655922342717e+01,2.518381944444445519e-01
2.014069733166753196e+01,1.100582037037036998e-01
2.021572165599822313e+01,1.042647714285714344e-01
1.962335181493216751e+01,1.097315272727272140e+00
2.006339782492952750e+01,6.569727105263158951e-01
2.020989684024476674e+01,1.573839142857143270e-01
2.017917955109849615e+01,1.455906756756756570e-01
2.020726944106993983e+01,6.247827272727272951e-02
2.038799216980877560e+01,1.528246486486486422e-01
1.999871536582788778e+01,4.003809999999999869e-01
1.993141047558953360e+01,6.871810909090908526e-01
